book_id,goodreads_book_id,best_book_id,work_id,books_count,authors,original_publication_year,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,title_length,authors_count,rating_deviation
1,2767052,2767052,2792775,272,Suzanne Collins,2008,"The Hunger Games (The Hunger Games, #1)",eng,4.34,4780653,4942365,155254,66715,127936,560092,1481305,2706317,39,1,7794660.077876503
2,3,3,4640799,491,"J.K. Rowling, Mary GrandPré",1997,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",eng,4.44,4602479,4800065,75867,75504,101676,455024,1156318,3011543,56,2,6118199.576981477
3,41865,41865,3212258,226,Stephenie Meyer,2005,"Twilight (Twilight, #1)",en-US,3.57,3866839,3916824,95009,456191,436802,793319,875073,1355439,23,1,6297667.300278154
4,2657,2657,3275794,487,Harper Lee,1960,To Kill a Mockingbird,eng,4.25,3198671,3340896,72586,60427,117415,446835,1001952,1714267,21,1,5522722.815579712
5,4671,4671,245494,1356,F. Scott Fitzgerald,1925,The Great Gatsby,eng,3.89,2683664,2773745,51992,86236,197621,606158,936012,947718,16,1,5871533.598372616
6,11870085,11870085,16827462,226,John Green,2012,The Fault in Our Stars,eng,4.26,2346404,2478609,140739,47994,92723,327550,698471,1311871,22,1,3913992.906385533
7,5907,5907,1540236,969,J.R.R. Tolkien,1937,The Hobbit,en-US,4.25,2071616,2196809,37653,46023,76784,288649,665635,1119718,10,1,3636038.7985101347
8,5107,5107,3036731,360,J.D. Salinger,1951,The Catcher in the Rye,eng,3.79,2044241,2120637,44920,109383,185520,455042,661516,709176,22,1,4272852.462082492
9,960,960,3338963,311,Dan Brown,2000,"Angels & Demons  (Robert Langdon, #1)",en-CA,3.85,2001311,2078754,25112,77841,145740,458429,716569,680175,37,1,4455207.486016094
10,1885,1885,3060926,3455,Jane Austen,1813,Pride and Prejudice,eng,4.24,2035490,2191465,49152,54700,86485,284852,609755,1155673,19,1,3411852.876758972
11,77203,77203,3295919,283,Khaled Hosseini,2003,The Kite Runner,eng,4.26,1813044,1878095,59730,34288,59980,226062,628174,929591,15,1,3276560.7348242234
12,13335037,13335037,13155899,210,Veronica Roth,2011,"Divergent (Divergent, #1)",eng,4.24,1903563,2216814,101023,36315,82870,310297,673028,1114304,25,1,3752434.75330062
13,5470,5470,153313,995,"George Orwell, Erich Fromm, Celâl Üster",1949,1984,eng,4.14,1956832,2053394,45518,41845,86425,324874,692021,908229,4,3,3873717.35153125
14,7613,7613,2207778,896,George Orwell,1945,Animal Farm,eng,3.87,1881700,1982987,35472,66854,135147,433432,698642,648912,11,1,4298309.5061983215
15,48855,48855,3532896,710,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,The Diary of a Young Girl,eng,4.1,1972666,2024493,20825,45225,91270,355756,656870,875372,25,3,3832069.2619536347
16,2429135,2429135,1708725,274,"Stieg Larsson, Reg Keeland",2005,"The Girl with the Dragon Tattoo (Millennium, #1)",eng,4.11,1808403,1929834,62543,54835,86051,285413,667485,836050,48,2,3643452.276118951
17,6148028,6148028,6171458,201,Suzanne Collins,2009,"Catching Fire (The Hunger Games, #2)",eng,4.3,1831039,1988079,88538,10492,48030,262010,687238,980309,36,1,3620556.7654679213
18,5,5,2402163,376,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",eng,4.53,1832823,1969375,36099,6716,20413,166129,509447,1266670,59,3,2570292.7459187564
19,34,34,3204327,566,J.R.R. Tolkien,1954,"The Fellowship of the Ring (The Lord of the Rings, #1)",eng,4.34,1766803,1832541,15333,38031,55862,202332,493922,1042394,54,1,2656384.184121905
20,7260188,7260188,8812783,239,Suzanne Collins,2010,"Mockingjay (The Hunger Games, #3)",eng,4.03,1719760,1870748,96274,30144,110498,373060,618271,738775,33,1,3783122.004544407
21,2,2,2809203,307,"J.K. Rowling, Mary GrandPré",2003,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",eng,4.46,1735368,1840548,28685,9528,31577,180210,494427,1124806,60,2,2571971.515627998
22,12232938,12232938,1145090,183,Alice Sebold,2002,The Lovely Bones,eng,3.77,1605173,1661562,36642,62777,131188,404699,583575,479323,16,1,3748001.2123867422
23,15881,15881,6231171,398,"J.K. Rowling, Mary GrandPré",1998,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",eng,4.37,1779331,1906199,34172,8253,42251,242345,548266,1065084,58,2,2996355.1637376947
24,6,6,3046572,332,"J.K. Rowling, Mary GrandPré",2000,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",eng,4.53,1753043,1868642,31084,6676,20210,151785,494926,1195045,54,2,2468810.727629616
25,136251,136251,2963218,263,"J.K. Rowling, Mary GrandPré",2007,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",eng,4.61,1746574,1847395,51942,9363,22245,113646,383914,1318227,55,2,1911729.1777995229
26,968,968,2982101,350,Dan Brown,2003,"The Da Vinci Code (Robert Langdon, #2)",eng,3.79,1447148,1557292,41560,71345,126493,340790,539277,479387,38,1,3361124.329168634
27,1,1,41335427,275,"J.K. Rowling, Mary GrandPré",2005,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",eng,4.54,1678823,1785676,27520,7308,21516,136333,459028,1161491,57,2,2280842.792244528
28,7624,7624,2766512,458,William Golding,1954,Lord of the Flies,eng,3.64,1605019,1671484,26886,92779,160295,425648,564916,427846,17,1,3764423.919838754
29,18135,18135,3349450,1937,"William Shakespeare, Robert           Jackson",1595,Romeo and Juliet,eng,3.73,1628519,1672889,14778,57980,153179,452673,519822,489235,16,2,3685690.1922458513
30,8442457,19288043,13306276,196,Gillian Flynn,2012,Gone Girl,eng,4.03,512475,1626519,121614,38874,80807,280331,616031,610476,9,1,3427862.9066334735
31,4667024,4667024,4717423,183,Kathryn Stockett,2009,The Help,eng,4.45,1531753,1603545,78204,10235,25117,134887,490754,942552,8,1,2407683.3889633594
32,890,890,40283,373,John Steinbeck,1937,Of Mice and Men,eng,3.84,1467496,1518741,24642,46630,110856,355169,532291,473795,15,1,3369758.399828173
33,930,929,1558965,220,Arthur Golden,1997,Memoirs of a Geisha,eng,4.08,1300209,1418172,25605,23500,59033,258700,517157,559782,19,1,2939300.053604048
34,10818853,10818853,15732562,169,E.L. James,2011,"Fifty Shades of Grey (Fifty Shades, #1)",eng,3.67,1338493,1436818,75437,165455,152293,252185,294976,571909,39,1,2075595.6601929122
35,865,865,4835472,458,"Paulo Coelho, Alan R. Clarke",1988,The Alchemist,eng,3.82,1299566,1403995,55781,74846,123614,289143,412180,504212,13,2,2688536.6156331757
36,3636,3636,2543234,192,Lois Lowry,1993,"The Giver (The Giver, #1)",eng,4.12,1296825,1345445,54084,26497,59652,225326,448691,585279,25,1,2563555.295038742
37,100915,100915,4790821,474,C.S. Lewis,1950,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",eng,4.19,1531800,1584884,15186,19309,55542,262038,513366,734629,64,1,2931359.5076112575
38,14050,18619684,2153746,167,Audrey Niffenegger,2003,The Time Traveler's Wife,eng,3.95,746287,1308667,43382,44339,85429,257805,427210,493884,24,1,2608779.836973539
39,13496,13496,1466917,101,George R.R. Martin,1996,"A Game of Thrones (A Song of Ice and Fire, #1)",eng,4.45,1319204,1442220,46205,19988,28983,114092,404583,874574,46,1,1998593.4820408814
40,19501,19501,3352398,185,Elizabeth Gilbert,2006,"Eat, Pray, Love",eng,3.51,1181647,1206597,49714,100373,149549,310212,332191,314272,15,1,2458129.8123072325
41,28187,28187,3346751,159,Rick Riordan,2005,"The Lightning Thief (Percy Jackson and the Olympians, #1)",eng,4.23,1366265,1411114,46006,18303,48294,219638,435514,689365,57,1,2479261.6726268893
42,1934,1934,3244642,1707,Louisa May Alcott,1868,"Little Women (Little Women, #1)",en-US,4.04,1257121,1314293,17090,31645,70011,250794,426280,535563,31,1,2565885.07745664
43,10210,10210,2977639,2568,"Charlotte Brontë, Michael Mason",1847,Jane Eyre,eng,4.1,1198557,1286135,31212,35132,64274,212294,400214,574221,9,2,2331160.332351192
44,15931,15931,1498135,190,Nicholas Sparks,1996,"The Notebook (The Notebook, #1)",eng,4.06,1053403,1076749,17279,41395,63432,176469,298259,497194,31,1,1807918.3687739111
45,4214,4214,1392700,264,Yann Martel,2001,Life of Pi,eng,3.88,1003228,1077431,42962,39768,74331,218702,384164,360466,10,1,2301661.552803177
46,43641,43641,3441236,128,Sara Gruen,2006,Water for Elephants,eng,4.07,1068146,1108839,55732,16705,49832,200154,417328,424820,19,1,2352738.9856072254
47,19063,19063,878368,251,Markus Zusak,2005,The Book Thief,eng,4.36,1159741,1287798,93611,17892,35360,135272,377218,722056,14,1,1967523.163452094
48,4381,4381,1272463,507,Ray Bradbury,1953,Fahrenheit 451,spa,3.97,570498,1176240,30694,28366,64289,238242,426292,419051,14,1,2520111.7513158876
49,49041,49041,3203964,194,Stephenie Meyer,2006,"New Moon (Twilight, #2)",eng,3.52,1149630,1199000,44020,102837,160660,294207,290612,350684,23,1,2263556.9824020015
50,30119,30119,30518,45,Shel Silverstein,1974,Where the Sidewalk Ends,eng,4.29,1016888,1023781,9234,16590,30792,139024,293222,544153,23,1,1634960.9475654364
51,256683,256683,2267189,178,Cassandra Clare,2007,"City of Bones (The Mortal Instruments, #1)",eng,4.12,1154031,1241799,51589,34122,65349,203466,356048,582814,42,1,2131172.466651914
52,428263,428263,2675454,185,Stephenie Meyer,2007,"Eclipse (Twilight, #3)",en-US,3.69,1134511,1176642,35216,83094,124293,260763,309358,399134,22,1,2185218.3860723823
53,113436,113436,3178011,217,Christopher Paolini,2002,"Eragon (The Inheritance Cycle, #1)",en-US,3.86,1104021,1125231,18280,50563,88536,240157,337943,408032,34,1,2198757.673103265
54,11,386162,3078186,257,Douglas Adams,1979,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",en-US,4.2,936782,1006479,20345,21764,41962,145173,299579,498001,75,1,1696001.6739761087
55,5129,5129,3204877,515,Aldous Huxley,1932,Brave New World,eng,3.97,1022601,1079135,20095,26367,60328,219895,389379,383166,15,1,2311495.745338581
56,1162543,1162543,2960529,183,Stephenie Meyer,2008,"Breaking Dawn (Twilight, #4)",en-US,3.7,1070245,1107709,44550,100994,114893,213402,267706,410714,28,1,1839827.553889424
57,37435,37435,3275013,125,Sue Monk Kidd,2001,The Secret Life of Bees,en-US,4.01,916189,937393,26522,17500,45455,185631,347540,341267,23,1,2020468.8302984233
58,2956,2956,1835605,2277,"Mark Twain, John Seelye, Guy Cardwell",1884,The Adventures of Huckleberry Finn,eng,3.8,953758,1001491,12448,28467,76630,255722,344356,296316,34,3,2269388.279374253
59,24178,24178,987048,180,"E.B. White, Garth Williams, Rosemary Wells",1952,Charlotte's Web,eng,4.15,1064521,1084842,13044,18450,41124,191415,346090,487763,15,3,2022409.3980831308
60,1618,1618,4259809,183,Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time,eng,3.85,867553,915790,35796,21049,58117,218218,355925,262481,49,1,2173544.283085096
61,22557272,22557272,41107568,14,Paula Hawkins,2015,The Girl on the Train,eng,3.88,1008778,1226485,93600,27773,73897,273817,488447,362551,21,1,2895265.358008292
62,119322,119322,1536771,287,Philip Pullman,1995,"The Golden Compass (His Dark Materials, #1)",eng,3.94,953970,994914,14915,38382,64591,198764,313147,380030,43,1,1939685.849863566
63,6185,6185,1565818,2498,"Emily Brontë, Richard J. Dunn",1847,Wuthering Heights,eng,3.82,899195,1001135,26157,46469,84084,215320,309180,346082,17,2,2004384.5484482113
64,10917,10917,1639903,125,Jodi Picoult,2004,My Sister's Keeper,eng,4.06,863879,887880,30719,17547,42763,162573,314003,350994,18,1,1811716.0365846737
65,4981,4981,1683562,241,Kurt Vonnegut Jr.,1969,Slaughterhouse-Five,eng,4.06,846488,891762,19646,24964,45518,152442,300948,367890,19,1,1727196.1227140427
66,18405,18405,3358283,409,Margaret Mitchell,1936,Gone with the Wind,eng,4.28,873981,897303,16050,19996,33136,116160,234290,493721,18,1,1331923.0311386902
67,128029,128029,3271379,197,Khaled Hosseini,2007,A Thousand Splendid Suns,eng,4.34,818742,866065,43645,6509,18015,99030,295817,446694,24,1,1509885.918871101
68,22628,22628,2236198,128,Stephen Chbosky,1999,The Perks of Being a Wallflower,eng,4.21,888806,954905,47116,14286,38658,143440,297501,461020,31,1,1683360.6239574093
69,11735983,11735983,15524542,164,Veronica Roth,2012,"Insurgent (Divergent, #2)",eng,4.07,836362,947338,55873,10641,44620,182131,339977,369969,25,1,1984906.0226768693
70,375802,375802,2422333,224,Orson Scott Card,1985,"Ender's Game (Ender's Saga, #1)",eng,4.3,813439,873417,38054,15330,27612,103439,264207,462829,31,1,1407045.949530522
